年度/Year,月份/Month,能源別/Energy Type,發電站名稱/Station Name,發電量(度)/Power Generation(kWh)
2024,05,太陽能/Solar,竹工E/S太陽光電/Zhugong E/S Solars,25957
2024,05,太陽能/Solar,台中電廠太陽光電/Taichung Power Plant Solars,340643
2024,05,太陽能/Solar,台中龍井太陽光電/Taichung Longjing Solars,505190
2024,05,太陽能/Solar,中科E/S太陽光電/Zhongke E/S Solars,22197
2024,05,太陽能/Solar,彰化彰濱太陽光電/Changhua Changbin Solars,11078767
2024,05,太陽能/Solar,彰林E/S太陽光電/Changlin E/S Solars,29427
2024,05,太陽能/Solar,南投大彎太陽光電/Nantou Dawan Solars,98943
2024,05,太陽能/Solar,台南鹽田太陽光電/Tainan salt field Solars,18648224
2024,05,太陽能/Solar,台南七股太陽光電/Tainan Qigu Solars,620969
2024,05,太陽能/Solar,興達電廠太陽光電/Xingda Power Plant Solars,172974
2024,05,太陽能/Solar,永安鹽灘地太陽光電/Yongan Salt Flats Solars,398242
2024,05,太陽能/Solar,燕巢倉庫太陽光電/Yanchao Warehouse Solars,49047
2024,05,太陽能/Solar,高雄E/S太陽光電/Kaohsiung E/S Solars,82415
2024,05,太陽能/Solar,高雄保寧太陽光電/Kaohsiung Baoning Solars,82860
2024,05,太陽能/Solar,鳳山水庫太陽光電/Fengshan Reservoir Solars,227360
2024,05,太陽能/Solar,核三廠太陽光電/3rd Nuclear Power Plants Solars,402333
2024,05,太陽能/Solar,澎湖七美太陽光電/Penghu Qimei Solars,22875
2024,05,太陽能/Solar,澎湖尖山太陽光電/Penghu jianshan Solars,89190
2024,05,太陽能/Solar,金門金沙太陽光電/Kinmen Jinsha Solars,35976
2024,05,太陽能/Solar,金門塔山太陽光電/Kinmen Tashan Solars,24950
2024,05,太陽能/Solar,金門鵲山太陽光電/Kinmen Queshan Solars,5254
2024,05,太陽能/Solar,馬祖珠山太陽光電/Mazu Zhushan Solars,8081
2024,05,太陽能/Solar,"淡水3.5萬噸配水池太陽光電/Danshui Distribution Reservoir(35,000 tons) Solar",32963
2024,05,太陽能/Solar,中大D/S太陽光電/Zhongda D/S Solars,3017
2024,05,太陽能/Solar,平鎮淨水場太陽光電/Pingzhen Water Treatment Plant Solars,118094
2024,05,太陽能/Solar,大湳淨水場太陽光電/Danan Water Treatment Plant Solars,89692
2024,05,太陽能/Solar,龜山加壓站太陽光電/Guishan Booster Station Solars,32008
2024,05,太陽能/Solar,龍潭淨水場太陽光電/Longtan Water Treatment Plant Solars,37384
2024,05,太陽能/Solar,卓蘭會館太陽光電/Zhuolan Hostel Solars,3341
