hour,node,cpu_load,cpu_alloc,cpu_idle,cpu_total,gpu_power_usage,gpu_mem_used,gpu_gpu_usage,gpu_fan
2024-11-04 23:00:00,node-162,4.0975,4.0,0.0,4.0,108.68833333333333,7397.0,48.833333333333336,0.0
2024-11-04 23:00:00,node-11,44.134166666666665,44.0,0.0,44.0,,,,
2024-11-05 00:00:00,node-167,4.014166666666667,4.0,0.0,4.0,,,,
2024-11-05 00:00:00,node-32,26.179166666666664,32.0,0.0,32.0,129.29791666666668,7670.0,30.395833333333332,0.0
2024-11-05 00:00:00,node-19,78.96833333333333,79.0,1.0,80.0,,,,
2024-11-05 00:00:00,node-18,36.01166666666666,36.0,0.0,36.0,,,,
2024-11-05 00:00:00,node-172,0.0033333333333333335,0.0,4.0,4.0,55.07666666666666,1.0,0.0,30.0
2024-11-05 00:00:00,node-171,0.0,0.0,4.0,4.0,59.875,1.0,0.0,30.0
2024-11-05 00:00:00,node-17,36.00083333333333,36.0,0.0,36.0,,,,
2024-11-05 00:00:00,node-168,1.0225,2.0,2.0,4.0,63.73833333333334,295.0,1.4166666666666667,0.0
2024-11-05 00:00:00,node-166,1.0091666666666665,2.0,2.0,4.0,75.64166666666667,296.8333333333333,1.75,0.0
2024-11-05 00:00:00,node-165,4.0175,4.0,0.0,4.0,,,,
2024-11-05 00:00:00,node-11,44.16166666666667,44.0,0.0,44.0,,,,
2024-11-05 00:00:00,node-163,4.01,4.0,0.0,4.0,,,,
2024-11-05 00:00:00,node-162,4.270833333333333,4.0,0.0,4.0,126.02,7397.0,38.75,0.0
2024-11-05 00:00:00,node-161,1.0450000000000002,2.0,2.0,4.0,56.4925,295.8333333333333,1.6666666666666667,0.0
2024-11-05 00:00:00,node-16,0.023333333333333334,0.0,4.0,4.0,34.526666666666664,1.0,0.0,0.0
2024-11-05 00:00:00,node-15,0.05916666666666667,1.0,3.0,4.0,36.2175,6863.0,0.0,0.0
2024-11-05 00:00:00,node-141,1.0175,2.0,2.0,4.0,69.53916666666667,297.8333333333333,1.0833333333333333,29.0
2024-11-05 00:00:00,node-14,95.1075,95.0,1.0,96.0,,,,
2024-11-05 00:00:00,node-13,44.11416666666667,44.0,0.0,44.0,,,,
2024-11-05 00:00:00,node-12,44.15416666666667,44.0,0.0,44.0,,,,
2024-11-05 00:00:00,node-164,1.03,2.0,2.0,4.0,65.19,295.5,0.9166666666666666,0.0
2024-11-05 01:00:00,node-167,4.004166666666666,4.0,0.0,4.0,,,,
2024-11-05 01:00:00,node-168,1.0141666666666667,2.0,2.0,4.0,63.781666666666666,294.5,1.0833333333333333,0.0
2024-11-05 01:00:00,node-17,36.0,36.0,0.0,36.0,,,,
2024-11-05 01:00:00,node-171,0.015,0.0,4.0,4.0,60.05583333333333,1.0,0.0,30.0
2024-11-05 01:00:00,node-166,1.0191666666666668,2.0,2.0,4.0,75.97333333333334,296.8333333333333,1.5,0.0
2024-11-05 01:00:00,node-18,36.035833333333336,36.0,0.0,36.0,,,,
2024-11-05 01:00:00,node-19,78.99083333333333,79.0,1.0,80.0,,,,
2024-11-05 01:00:00,node-32,27.7375,31.333333333333332,0.6666666666666666,32.0,112.01104166666666,7176.395833333333,27.010416666666668,0.0
2024-11-05 01:00:00,node-172,0.0008333333333333334,0.0,4.0,4.0,55.1,1.0,0.0,30.0
2024-11-05 01:00:00,node-165,4.019166666666666,4.0,0.0,4.0,,,,
2024-11-05 01:00:00,node-11,44.335,44.0,0.0,44.0,,,,
2024-11-05 01:00:00,node-163,4.0,4.0,0.0,4.0,,,,
2024-11-05 01:00:00,node-162,4.431666666666667,4.0,0.0,4.0,101.40249999999999,7397.0,44.5,0.0
2024-11-05 01:00:00,node-161,1.05,2.0,2.0,4.0,52.869166666666665,296.1666666666667,0.75,0.0
2024-11-05 01:00:00,node-16,0.0008333333333333334,0.0,4.0,4.0,34.58833333333333,1.0,0.0,0.0
2024-11-05 01:00:00,node-15,0.03166666666666667,1.0,3.0,4.0,36.2075,6863.0,0.0,0.0
2024-11-05 01:00:00,node-141,1.01,2.0,2.0,4.0,69.06833333333333,299.0,1.25,29.0
2024-11-05 01:00:00,node-14,95.05333333333334,95.0,1.0,96.0,,,,
2024-11-05 01:00:00,node-13,44.12916666666666,44.0,0.0,44.0,,,,
2024-11-05 01:00:00,node-12,44.10916666666666,44.0,0.0,44.0,,,,
2024-11-05 01:00:00,node-164,1.0250000000000001,2.0,2.0,4.0,60.39166666666667,299.1666666666667,1.8333333333333333,0.0
2024-11-05 02:00:00,node-167,4.003333333333333,4.0,0.0,4.0,,,,
2024-11-05 02:00:00,node-168,1.0091666666666665,2.0,2.0,4.0,63.81583333333333,294.6666666666667,1.5,0.0
2024-11-05 02:00:00,node-17,36.0075,36.0,0.0,36.0,,,,
2024-11-05 02:00:00,node-171,0.0025,0.0,4.0,4.0,59.91,1.0,0.0,30.0
2024-11-05 02:00:00,node-166,1.0641666666666667,2.0,2.0,4.0,71.32583333333334,296.6666666666667,1.9166666666666667,0.0
2024-11-05 02:00:00,node-18,36.01166666666666,36.0,0.0,36.0,,,,
2024-11-05 02:00:00,node-19,78.93333333333334,79.0,1.0,80.0,,,,
2024-11-05 02:00:00,node-32,25.51,29.333333333333332,2.6666666666666665,32.0,89.69114583333334,5125.5,19.5,0.0
2024-11-05 02:00:00,node-172,0.0,0.0,4.0,4.0,54.58166666666667,1.0,0.0,30.0
2024-11-05 02:00:00,node-165,4.01,4.0,0.0,4.0,,,,
2024-11-05 02:00:00,node-11,44.315,44.0,0.0,44.0,,,,
2024-11-05 02:00:00,node-163,4.025833333333334,4.0,0.0,4.0,,,,
2024-11-05 02:00:00,node-12,44.17333333333334,44.0,0.0,44.0,,,,
2024-11-05 02:00:00,node-13,44.134166666666665,44.0,0.0,44.0,,,,
2024-11-05 02:00:00,node-14,95.10000000000001,95.0,1.0,96.0,,,,
2024-11-05 02:00:00,node-141,1.0,2.0,2.0,4.0,69.19916666666667,352.5,1.5833333333333333,29.0
2024-11-05 02:00:00,node-164,1.0291666666666666,2.0,2.0,4.0,55.413333333333334,291.3333333333333,1.4166666666666667,0.0
2024-11-05 02:00:00,node-16,0.0,0.0,4.0,4.0,34.6125,1.0,0.0,0.0
2024-11-05 02:00:00,node-161,1.0366666666666666,2.0,2.0,4.0,52.93,293.1666666666667,1.5,0.0
2024-11-05 02:00:00,node-162,4.2725,4.0,0.0,4.0,138.48333333333332,7397.0,37.75,0.0
2024-11-05 02:00:00,node-15,0.02,1.0,3.0,4.0,36.225,6863.0,0.0,0.0
2024-11-05 03:00:00,node-166,1.0275,2.0,2.0,4.0,71.3625,298.3333333333333,1.75,0.0
